Titlu;Localitate;Suprafata teren;Suprafata utila;Stare;Numar camere;Numar bai;Mobilat;Tip tranzactie;Pret
COMISION 0! Casa cu 4 camere 2 bai carport teren 297 mp Sibi;Sibiu / Sibiu;297 m²;119 m²;Bună;4;2;Complet;Vânzare;229.000 €
Casa de vanzare 6 camere 260 mp gradina zona foarte linistit;Sibiu / Cisnadie;404 m²;154 m²;Bună;5+;2;Complet;Vânzare;199.990 €
Casa individuala cu 5 camere in localitatea Miercurea Sibiul;Sibiu / Miercurea Sibiului;500 m²;220 m²;Bună;5;2;Nemobilat;Vânzare;140.000 €
Casa Nordique 183mp utili$ 5 camere$ 3 bai. Family Miroslava;Iasi / Iasi;450 m²;183 m²;În construcție;5;3;Nemobilat;Vânzare;440.000 €
Casa DreamView 175mp utili$ 5 camere$ 3 bai. Family Miroslav;Iasi / Iasi;450 m²;177 m²;Bună;5;3;Nemobilat;Vânzare;422.000 €
Casă 4 camere $ zonă liniștită;Cluj / Dej;420 m²;182 m²;Bună;4;1;Complet;Vânzare;155.000 €
Casa P+1 - 142$80 mp - Pantelimon;Bucuresti-Ilfov / Pantelimon;227 m²;117 m²;Nouă;4;2;;Vânzare;149.500 €
Casa de vanzare in Campina (spatiu comercial) - Zona Lidl;Prahova / Campina;332 m²;250 m²;De renovat;4;1;;Vânzare;139.000 €
Casă familială cartier nou 125mp$ 576mp teren Valea Voievo;Dambovita / Valea Voievozilor;576 m²;125 m²;Bună;4;2;Nemobilat;Vânzare;147.000 €
Casa de vanzare cu 5 camere constructie 2024 in zona Terezia;Sibiu / Sibiu;300 m²;160 m²;Bună;5;2;Nemobilat;Vânzare;329.000 €
Casa individuala Sura Mare constructie 2015 cu 498mp teren;Sibiu / Sura Mare;498 m²;160 m²;Bună;4;2;Complet;Vânzare;164.900 €
Duplex de vanzare 150 mp P+1E 4 camere 145 mp teren liber Ci;Sibiu / Cisnadie;250 m²;150 m²;Bună;4;2;Nemobilat;Vânzare;165.000 €
Casa individuala in stil rustic curte 450 mp in zona Belvede;Sibiu / Sibiu;450 m²;210 m²;Bună;5+;3;Complet;Vânzare;543.000 €
Casa de vanzare cu 3 camere 83mp zona Piata Cluj Sibiu;Sibiu / Sibiu;200 m²;83 m²;Bună;3;1;Nemobilat;Vânzare;152.900 €
Casa individuala de vanzare 177 mpu 5 camere garaj 3 terase;Sibiu / Cisnadioara;458 m²;177 m²;Bună;5;2;Nemobilat;Vânzare;280.000 €
Casa individuala de vanzare teren 457 mp garaj Trei Stejari;Sibiu / Sibiu;457 m²;147 m²;Bună;5+;2;Complet;Vânzare;364.990 €
Casa de vanzare 260mp 7 camere curte 113mpu zona Trei Stejar;Sibiu / Sibiu;350 m²;260 m²;Bună;5+;3;Parțial;Vânzare;449.000 €
Casa individuala spatioasa Selimbar - pret excelent;Sibiu / Sibiu;490 m²;201 m²;Bună;4;3;Nemobilat;Vânzare;350.000 €
Casa individuala 8 camere curte libera 300mp zona Calea Popl;Sibiu / Sibiu;430 m²;300 m²;Bună;5+;2;Nemobilat;Vânzare;354.900 €
Doua case la pret de una teren 900 mp zona Turnisor;Sibiu / Sibiu;900 m²;118 m²;Bună;3;2;Complet;Vânzare;210.000 €
Casa cu 4 camere si vedere panoramica chiar la intrare In Cr;Sibiu / Cristian;200 m²;119 m²;Bună;4;3;Complet;Vânzare;229.900 €
Casa moderna de vanzare in zona Dealul Sibiului din Sura Mar;Sibiu / Sura Mare;695 m²;93 m²;Bună;3;2;Complet;Vânzare;179.000 €
Casa de vanzare cu 3 camere Cartier Marmelada- zona Veterani;Sibiu / Sibiu;220 m²;90 m²;Bună;3;1;Complet;Vânzare;99.999 €
Pret avantajos-Casa si studio de vanzare 146 mpu 5 camere Ci;Sibiu / Cisnadie;238 m²;145 m²;Bună;5;2;Complet;Vânzare;195.000 €
Casa de vanzare in Zavoi cu 3 camere 2 bai curte libera de 5;Sibiu / Sibiu;100 m²;80 m²;Bună;3;2;Complet;Vânzare;185.000 €
COMISION 0 % cu EXCLUSIVITATE Casa individuala + teren Sura;Sibiu / Sura Mica;619 m²;60 m²;Bună;2;1;Nemobilat;Vânzare;105.000 €
Comision 0% Pensiune 7 camere 3 stele in regim hotelier Sura;Sibiu / Sura Mare;500 m²;240 m²;Bună;5+;3;Complet;Vânzare;365.000 €
Casa tip duplex de vanzare la curte comuna pivnita in Piata;Sibiu / Sibiu;100 m²;56 m²;Bună;3;1;Nemobilat;Vânzare;80.000 €
Casa deosebita de vanzare cu 4 camere Sura Mare Sibiu;Sibiu / Sura Mare;110 m²;120 m²;Bună;4;2;Complet;Vânzare;185.000 €
EXCLUSIVITATE - Casa 9 camere 615 mpu 9 bai 3600 mp teren in;Sibiu / Fantanele;3600 m²;615 m²;Bună;5+;9;Complet;Vânzare;347.990 €
Vila 5 camere$ garaj$ 644mp teren. Popas Pacurari- V Lupului;Iasi / Iasi;644 m²;160 m²;În construcție;5;2;Nemobilat;Vânzare;300.000 €
Casa individuala 4 camere P+1E 118 mp 322 mp parcela teren C;Sibiu / Cisnadie;322 m²;118 m²;Bună;4;2;Parțial;Vânzare;259.990 €
Vila interbelica isi asteapta cu speranta tacuta noul propri;Sibiu / Sibiu;5262 m²;901 m²;Bună;5+;10;Nemobilat;Vânzare;2.000.000 €
